IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.17.16.157,3,3,0.00,229.31,0.00,N/A
104.18.159.230,3,3,0.00,229.35,0.00,N/A
104.16.149.171,3,3,0.00,229.35,0.00,N/A
104.19.82.1,3,3,0.00,229.37,0.00,N/A
104.18.79.134,3,3,0.00,229.38,0.00,N/A
104.25.164.115,3,3,0.00,229.45,0.00,N/A
172.67.193.186,3,3,0.00,229.46,0.00,N/A
104.19.74.225,3,3,0.00,229.47,0.00,N/A
172.66.173.106,3,3,0.00,229.47,0.00,N/A
104.18.168.214,3,3,0.00,229.53,0.00,N/A
104.16.123.183,3,3,0.00,229.55,0.00,N/A
172.66.135.68,3,3,0.00,229.66,0.00,N/A
172.65.2.122,3,3,0.00,229.66,0.00,N/A
104.27.37.115,3,3,0.00,229.77,0.00,N/A
104.24.149.50,3,3,0.00,229.79,0.00,N/A
104.17.246.221,3,3,0.00,229.80,0.00,N/A
104.19.228.35,3,3,0.00,229.83,0.00,N/A
104.16.170.191,3,3,0.00,229.90,0.00,N/A
162.159.239.2,3,3,0.00,229.93,0.00,N/A
172.64.158.51,3,3,0.00,230.04,0.00,N/A
172.67.90.199,3,3,0.00,230.08,0.00,N/A
104.25.110.23,3,3,0.00,230.09,0.00,N/A
172.66.137.1,3,3,0.00,230.12,0.00,N/A
104.24.91.208,3,3,0.00,230.23,0.00,N/A
104.16.206.133,3,3,0.00,230.31,0.00,N/A
104.25.34.251,3,3,0.00,230.33,0.00,N/A
104.21.98.87,3,3,0.00,230.57,0.00,N/A
172.66.156.162,3,3,0.00,230.65,0.00,N/A
104.16.87.50,3,3,0.00,230.72,0.00,N/A
104.24.55.151,3,3,0.00,230.75,0.00,N/A
104.24.253.135,3,3,0.00,230.79,0.00,N/A
104.16.62.33,3,3,0.00,230.96,0.00,N/A
172.66.144.169,3,3,0.00,231.02,0.00,N/A
104.21.81.135,3,3,0.00,231.07,0.00,N/A
172.67.129.202,3,3,0.00,231.10,0.00,N/A
104.25.42.18,3,3,0.00,231.18,0.00,N/A
172.66.43.109,3,3,0.00,231.26,0.00,N/A
104.25.15.23,3,3,0.00,231.27,0.00,N/A
104.18.156.134,3,3,0.00,231.40,0.00,N/A
172.67.95.142,3,3,0.00,231.40,0.00,N/A
104.24.11.62,3,3,0.00,231.42,0.00,N/A
104.25.96.247,3,3,0.00,231.47,0.00,N/A
104.27.124.112,3,3,0.00,231.50,0.00,N/A
104.16.153.73,3,3,0.00,231.56,0.00,N/A
104.19.207.100,3,3,0.00,231.71,0.00,N/A
104.25.67.226,3,3,0.00,231.79,0.00,N/A
172.67.178.74,3,3,0.00,231.84,0.00,N/A
172.65.145.161,3,3,0.00,231.87,0.00,N/A
104.19.28.145,3,3,0.00,231.90,0.00,N/A
104.24.20.151,3,3,0.00,231.94,0.00,N/A
104.19.177.109,3,3,0.00,231.98,0.00,N/A
162.159.51.240,3,3,0.00,232.19,0.00,N/A
104.19.234.101,3,3,0.00,232.20,0.00,N/A
198.41.206.50,3,3,0.00,232.29,0.00,N/A
104.27.127.188,3,3,0.00,232.31,0.00,N/A
104.16.175.147,3,3,0.00,232.34,0.00,N/A
104.24.135.44,3,3,0.00,232.39,0.00,N/A
104.18.253.242,3,3,0.00,232.42,0.00,N/A
104.19.25.229,3,3,0.00,232.44,0.00,N/A
172.66.198.205,3,3,0.00,232.51,0.00,N/A
172.65.155.85,3,3,0.00,232.51,0.00,N/A
104.20.58.203,3,3,0.00,232.62,0.00,N/A
104.19.216.175,3,3,0.00,232.66,0.00,N/A
104.27.68.4,3,3,0.00,232.72,0.00,N/A
172.67.148.127,3,3,0.00,232.76,0.00,N/A
104.27.79.62,3,3,0.00,232.79,0.00,N/A
104.27.91.144,3,3,0.00,232.80,0.00,N/A
104.21.60.38,3,3,0.00,232.87,0.00,N/A
162.159.94.169,3,3,0.00,232.95,0.00,N/A
172.67.206.245,3,3,0.00,232.96,0.00,N/A
104.18.1.119,3,3,0.00,232.99,0.00,N/A
104.18.150.172,3,3,0.00,233.02,0.00,N/A
172.65.68.168,3,3,0.00,233.08,0.00,N/A
104.17.163.49,3,3,0.00,233.11,0.00,N/A
172.65.94.105,3,3,0.00,233.15,0.00,N/A
104.16.40.100,3,3,0.00,233.25,0.00,N/A
104.21.57.132,3,3,0.00,233.29,0.00,N/A
172.65.127.179,3,3,0.00,233.30,0.00,N/A
172.65.133.48,3,3,0.00,233.33,0.00,N/A
104.19.102.100,3,3,0.00,233.39,0.00,N/A
104.27.72.89,3,3,0.00,233.44,0.00,N/A
104.24.251.219,3,3,0.00,233.45,0.00,N/A
173.245.58.37,3,3,0.00,233.47,0.00,N/A
104.18.181.156,3,3,0.00,233.48,0.00,N/A
104.25.80.187,3,3,0.00,233.55,0.00,N/A
104.17.33.179,3,3,0.00,233.57,0.00,N/A
104.25.25.178,3,3,0.00,233.60,0.00,N/A
104.18.114.91,3,3,0.00,233.95,0.00,N/A
141.101.120.108,3,3,0.00,233.97,0.00,N/A
104.27.204.39,3,3,0.00,233.99,0.00,N/A
172.65.26.199,3,3,0.00,234.01,0.00,N/A
172.66.129.240,3,3,0.00,234.01,0.00,N/A
104.27.78.223,3,3,0.00,234.19,0.00,N/A
104.17.68.69,3,3,0.00,234.29,0.00,N/A
104.18.232.121,3,3,0.00,234.31,0.00,N/A
104.24.15.148,3,3,0.00,234.37,0.00,N/A
172.65.189.38,3,3,0.00,234.38,0.00,N/A
104.27.5.203,3,3,0.00,234.65,0.00,N/A
104.18.122.0,3,3,0.00,234.85,0.00,N/A
104.18.12.4,3,3,0.00,234.90,0.00,N/A
104.27.102.242,3,3,0.00,235.06,0.00,N/A
104.18.50.53,3,3,0.00,235.52,0.00,N/A
172.65.93.99,3,3,0.00,236.21,0.00,N/A
172.64.93.195,3,3,0.00,236.31,0.00,N/A
104.16.214.204,3,3,0.00,236.96,0.00,N/A
190.93.244.23,3,3,0.00,236.97,0.00,N/A
104.19.15.68,3,3,0.00,237.25,0.00,N/A
162.159.93.14,3,3,0.00,237.45,0.00,N/A
172.67.252.60,3,3,0.00,237.56,0.00,N/A
104.24.203.178,3,3,0.00,237.92,0.00,N/A
104.24.137.79,3,3,0.00,238.16,0.00,N/A
172.66.167.8,3,3,0.00,238.39,0.00,N/A
104.17.100.109,3,3,0.00,238.62,0.00,N/A
104.17.202.26,3,3,0.00,238.77,0.00,N/A
104.18.152.139,3,3,0.00,238.98,0.00,N/A
104.24.187.80,3,3,0.00,239.03,0.00,N/A
104.24.184.248,3,3,0.00,239.15,0.00,N/A
104.24.56.68,3,3,0.00,239.54,0.00,N/A
104.29.156.12,3,3,0.00,239.90,0.00,N/A
198.41.209.158,3,3,0.00,240.04,0.00,N/A
172.67.197.47,3,3,0.00,240.46,0.00,N/A
104.24.35.216,3,3,0.00,240.56,0.00,N/A
104.24.27.200,3,3,0.00,241.27,0.00,N/A
198.41.202.151,3,3,0.00,241.27,0.00,N/A
104.17.173.88,3,3,0.00,241.46,0.00,N/A
104.24.14.231,3,3,0.00,241.50,0.00,N/A
162.159.60.0,3,3,0.00,241.61,0.00,N/A
104.25.106.45,3,3,0.00,242.42,0.00,N/A
104.17.92.236,3,3,0.00,242.62,0.00,N/A
190.93.245.48,3,3,0.00,243.58,0.00,N/A
172.66.193.107,3,3,0.00,243.64,0.00,N/A
172.67.240.57,3,3,0.00,243.69,0.00,N/A
104.18.84.143,3,3,0.00,243.94,0.00,N/A
104.16.46.8,3,3,0.00,244.89,0.00,N/A
104.17.181.133,3,3,0.00,245.60,0.00,N/A
104.21.207.30,3,3,0.00,245.64,0.00,N/A
104.24.21.159,3,3,0.00,245.98,0.00,N/A
104.29.126.185,3,3,0.00,246.20,0.00,N/A
104.17.218.73,3,3,0.00,246.31,0.00,N/A
104.24.185.44,3,3,0.00,246.33,0.00,N/A
104.27.122.127,3,3,0.00,247.13,0.00,N/A
104.27.86.207,3,3,0.00,247.27,0.00,N/A
104.24.34.90,3,3,0.00,247.58,0.00,N/A
104.21.69.252,3,3,0.00,247.79,0.00,N/A
172.64.230.118,3,3,0.00,247.88,0.00,N/A
104.19.199.149,3,3,0.00,247.88,0.00,N/A
172.67.111.73,3,3,0.00,248.05,0.00,N/A
104.18.86.12,3,3,0.00,248.15,0.00,N/A
172.67.142.224,3,3,0.00,248.32,0.00,N/A
172.66.142.177,3,3,0.00,248.35,0.00,N/A
104.27.103.243,3,3,0.00,248.43,0.00,N/A
104.24.36.57,3,3,0.00,248.46,0.00,N/A
172.65.111.221,3,3,0.00,248.52,0.00,N/A
104.19.200.132,3,3,0.00,248.77,0.00,N/A
104.19.87.202,3,3,0.00,248.86,0.00,N/A
104.24.68.36,3,3,0.00,249.00,0.00,N/A
162.159.205.110,3,3,0.00,249.07,0.00,N/A
104.20.36.106,3,3,0.00,249.26,0.00,N/A
104.18.180.223,3,3,0.00,249.44,0.00,N/A
104.19.156.153,3,3,0.00,249.45,0.00,N/A
104.19.166.5,3,3,0.00,249.63,0.00,N/A
104.24.49.226,3,3,0.00,249.71,0.00,N/A
172.66.176.172,3,3,0.00,249.80,0.00,N/A
172.65.156.122,3,3,0.00,249.81,0.00,N/A
104.18.73.240,3,3,0.00,249.82,0.00,N/A
104.19.68.84,3,3,0.00,249.94,0.00,N/A
104.18.193.201,3,3,0.00,249.95,0.00,N/A
104.25.89.226,3,3,0.00,249.97,0.00,N/A
104.27.23.20,3,3,0.00,250.11,0.00,N/A
104.25.223.236,3,3,0.00,250.21,0.00,N/A
172.64.75.223,3,3,0.00,250.28,0.00,N/A
104.25.31.239,3,3,0.00,250.28,0.00,N/A
172.67.248.134,3,3,0.00,250.39,0.00,N/A
172.67.242.138,3,3,0.00,250.54,0.00,N/A
104.19.249.156,3,3,0.00,250.69,0.00,N/A
104.18.147.155,3,3,0.00,250.74,0.00,N/A
104.29.155.79,3,3,0.00,250.98,0.00,N/A
104.19.137.55,3,3,0.00,250.99,0.00,N/A
172.67.156.244,3,3,0.00,251.19,0.00,N/A
104.16.111.31,3,3,0.00,251.21,0.00,N/A
104.30.128.89,3,3,0.00,251.22,0.00,N/A
104.16.178.86,3,3,0.00,251.26,0.00,N/A
104.20.60.68,3,3,0.00,251.35,0.00,N/A
172.65.255.182,3,3,0.00,251.46,0.00,N/A
104.21.58.218,3,3,0.00,251.54,0.00,N/A
104.27.46.19,3,3,0.00,251.65,0.00,N/A
162.159.197.144,3,3,0.00,251.65,0.00,N/A
104.19.88.209,3,3,0.00,251.68,0.00,N/A
104.19.62.23,3,3,0.00,251.79,0.00,N/A
172.65.78.243,3,3,0.00,251.79,0.00,N/A
162.159.9.112,3,3,0.00,251.90,0.00,N/A
104.27.93.152,3,3,0.00,251.92,0.00,N/A
104.24.154.249,3,3,0.00,251.97,0.00,N/A
172.67.235.104,3,3,0.00,252.06,0.00,N/A
104.16.42.193,3,3,0.00,252.51,0.00,N/A
104.16.234.168,3,3,0.00,252.57,0.00,N/A
172.64.42.229,3,3,0.00,252.59,0.00,N/A
104.18.189.25,3,3,0.00,252.64,0.00,N/A
104.18.21.86,3,3,0.00,252.72,0.00,N/A
104.16.142.161,3,3,0.00,252.80,0.00,N/A
172.65.144.248,3,3,0.00,252.80,0.00,N/A
172.67.207.245,3,3,0.00,252.91,0.00,N/A
104.19.183.34,3,3,0.00,252.92,0.00,N/A
104.25.93.194,3,3,0.00,253.04,0.00,N/A
104.18.65.108,3,3,0.00,253.08,0.00,N/A
104.18.120.37,3,3,0.00,253.20,0.00,N/A
172.65.174.56,3,3,0.00,253.24,0.00,N/A
172.65.130.153,3,3,0.00,253.25,0.00,N/A
104.18.117.56,3,3,0.00,253.26,0.00,N/A
104.17.3.117,3,3,0.00,253.36,0.00,N/A
162.159.233.48,3,3,0.00,253.40,0.00,N/A
104.20.52.64,3,3,0.00,253.41,0.00,N/A
104.24.191.210,3,3,0.00,253.42,0.00,N/A
104.18.108.36,3,3,0.00,253.43,0.00,N/A
104.19.90.101,3,3,0.00,253.49,0.00,N/A
172.67.144.185,3,3,0.00,253.50,0.00,N/A
172.67.154.159,3,3,0.00,253.51,0.00,N/A
104.19.122.211,3,3,0.00,253.52,0.00,N/A
172.66.131.148,3,3,0.00,253.54,0.00,N/A
104.25.194.36,3,3,0.00,253.63,0.00,N/A
104.27.60.97,3,3,0.00,253.70,0.00,N/A
104.19.218.12,3,3,0.00,253.92,0.00,N/A
172.65.139.178,3,3,0.00,253.97,0.00,N/A
172.64.98.249,3,3,0.00,253.97,0.00,N/A
104.21.204.203,3,3,0.00,254.02,0.00,N/A
104.27.89.142,3,3,0.00,254.10,0.00,N/A
104.19.236.202,3,3,0.00,254.12,0.00,N/A
104.21.37.4,3,3,0.00,254.12,0.00,N/A
104.18.230.187,3,3,0.00,254.13,0.00,N/A
104.18.110.183,3,3,0.00,254.22,0.00,N/A
172.65.16.142,3,3,0.00,254.23,0.00,N/A
104.17.64.248,3,3,0.00,254.36,0.00,N/A
104.24.166.230,3,3,0.00,254.45,0.00,N/A
104.25.94.203,3,3,0.00,254.62,0.00,N/A
104.25.41.191,3,3,0.00,254.72,0.00,N/A
104.18.191.210,3,3,0.00,254.77,0.00,N/A
104.16.139.22,3,3,0.00,254.78,0.00,N/A
172.67.101.181,3,3,0.00,254.81,0.00,N/A
104.21.194.226,3,3,0.00,254.85,0.00,N/A
104.21.122.63,3,3,0.00,254.88,0.00,N/A
172.67.189.90,3,3,0.00,254.95,0.00,N/A
104.16.239.24,3,3,0.00,255.02,0.00,N/A
104.18.130.135,3,3,0.00,255.04,0.00,N/A
104.19.17.221,3,3,0.00,255.05,0.00,N/A
104.17.67.37,3,3,0.00,255.08,0.00,N/A
104.24.252.204,3,3,0.00,255.20,0.00,N/A
104.16.33.9,3,3,0.00,255.22,0.00,N/A
104.21.23.81,3,3,0.00,255.23,0.00,N/A
104.25.169.51,3,3,0.00,255.26,0.00,N/A
104.18.200.214,3,3,0.00,255.26,0.00,N/A
104.25.116.250,3,3,0.00,255.28,0.00,N/A
104.24.141.168,3,3,0.00,255.39,0.00,N/A
162.159.22.56,3,3,0.00,255.55,0.00,N/A
104.18.187.56,3,3,0.00,255.64,0.00,N/A
104.16.81.97,3,3,0.00,255.66,0.00,N/A
172.65.59.158,3,3,0.00,255.75,0.00,N/A
104.19.107.235,3,3,0.00,255.80,0.00,N/A
172.65.87.23,3,3,0.00,255.83,0.00,N/A
172.67.226.83,3,3,0.00,255.89,0.00,N/A
172.67.82.94,3,3,0.00,255.90,0.00,N/A
104.24.204.206,3,3,0.00,255.90,0.00,N/A
104.24.138.168,3,3,0.00,255.91,0.00,N/A
104.20.6.125,3,3,0.00,255.91,0.00,N/A
172.67.130.87,3,3,0.00,255.93,0.00,N/A
172.67.255.32,3,3,0.00,256.03,0.00,N/A
104.21.31.212,3,3,0.00,256.05,0.00,N/A
104.19.105.191,3,3,0.00,256.10,0.00,N/A
172.65.153.116,3,3,0.00,256.24,0.00,N/A
104.27.62.48,3,3,0.00,256.49,0.00,N/A
104.16.144.77,3,3,0.00,256.49,0.00,N/A
104.25.191.75,3,3,0.00,256.50,0.00,N/A
172.66.170.229,3,3,0.00,256.57,0.00,N/A
104.21.110.224,3,3,0.00,256.68,0.00,N/A
104.19.217.108,3,3,0.00,256.75,0.00,N/A
104.21.16.75,3,3,0.00,256.87,0.00,N/A
104.29.124.17,3,3,0.00,256.87,0.00,N/A
104.21.224.61,3,3,0.00,256.93,0.00,N/A
104.18.251.173,3,3,0.00,257.02,0.00,N/A
172.65.45.9,3,3,0.00,257.05,0.00,N/A
104.19.149.238,3,3,0.00,257.14,0.00,N/A
141.101.121.248,3,3,0.00,257.20,0.00,N/A
104.16.105.98,3,3,0.00,257.22,0.00,N/A
141.101.123.189,3,3,0.00,257.24,0.00,N/A
172.67.93.160,3,3,0.00,257.31,0.00,N/A
172.65.207.223,3,3,0.00,257.36,0.00,N/A
172.67.251.42,3,3,0.00,257.50,0.00,N/A
104.17.48.68,3,3,0.00,257.51,0.00,N/A
172.65.39.94,3,3,0.00,257.62,0.00,N/A
104.16.104.188,3,3,0.00,257.65,0.00,N/A
104.24.90.49,3,3,0.00,257.74,0.00,N/A
104.27.71.161,3,3,0.00,257.88,0.00,N/A
104.21.193.1,3,3,0.00,257.91,0.00,N/A
104.21.55.19,3,3,0.00,257.93,0.00,N/A
104.18.157.48,3,3,0.00,257.97,0.00,N/A
104.27.8.114,3,3,0.00,257.98,0.00,N/A
104.16.71.29,3,3,0.00,258.01,0.00,N/A
172.67.214.81,3,3,0.00,258.03,0.00,N/A
172.65.48.212,3,3,0.00,258.04,0.00,N/A
104.16.58.43,3,3,0.00,258.10,0.00,N/A
172.65.75.17,3,3,0.00,258.12,0.00,N/A
104.16.230.196,3,3,0.00,258.33,0.00,N/A
104.16.126.31,3,3,0.00,258.38,0.00,N/A
104.25.173.1,3,3,0.00,258.42,0.00,N/A
104.19.246.185,3,3,0.00,258.48,0.00,N/A
104.18.85.221,3,3,0.00,258.49,0.00,N/A
104.24.76.224,3,3,0.00,258.50,0.00,N/A
104.16.55.155,3,3,0.00,258.72,0.00,N/A
104.24.57.192,3,3,0.00,258.89,0.00,N/A
104.18.109.86,3,3,0.00,259.03,0.00,N/A
104.19.0.150,3,3,0.00,259.09,0.00,N/A
104.16.47.66,3,3,0.00,259.20,0.00,N/A
172.67.196.166,3,3,0.00,259.25,0.00,N/A
104.24.85.26,3,3,0.00,259.33,0.00,N/A
104.19.215.26,3,3,0.00,259.46,0.00,N/A
104.27.33.89,3,3,0.00,259.62,0.00,N/A
104.16.34.183,3,3,0.00,259.73,0.00,N/A
104.25.37.159,3,3,0.00,259.80,0.00,N/A
172.65.10.85,3,3,0.00,259.83,0.00,N/A
104.18.35.121,3,3,0.00,259.86,0.00,N/A
172.64.34.8,3,3,0.00,259.94,0.00,N/A
104.21.15.110,3,3,0.00,259.97,0.00,N/A
104.16.160.164,3,3,0.00,260.09,0.00,N/A
104.20.13.66,3,3,0.00,260.10,0.00,N/A
104.25.177.74,3,3,0.00,260.25,0.00,N/A
104.18.247.247,3,3,0.00,260.27,0.00,N/A
104.19.170.238,3,3,0.00,260.43,0.00,N/A
104.21.75.75,3,3,0.00,260.55,0.00,N/A
104.25.114.164,3,3,0.00,260.59,0.00,N/A
104.18.105.69,3,3,0.00,260.74,0.00,N/A
104.25.217.180,3,3,0.00,260.86,0.00,N/A
104.18.81.2,3,3,0.00,260.89,0.00,N/A
104.16.217.109,3,3,0.00,261.00,0.00,N/A
172.67.224.122,3,3,0.00,261.22,0.00,N/A
104.17.2.18,3,3,0.00,261.35,0.00,N/A
104.19.4.81,3,3,0.00,261.48,0.00,N/A
172.65.18.250,3,3,0.00,261.59,0.00,N/A
172.64.49.145,3,3,0.00,261.64,0.00,N/A
172.67.181.245,3,3,0.00,261.74,0.00,N/A
172.67.213.241,3,3,0.00,261.79,0.00,N/A
162.159.12.189,3,3,0.00,261.81,0.00,N/A
172.64.155.124,3,3,0.00,261.83,0.00,N/A
104.24.186.200,3,3,0.00,262.12,0.00,N/A
104.19.66.247,3,3,0.00,262.19,0.00,N/A
172.67.125.58,3,3,0.00,262.21,0.00,N/A
104.18.192.182,3,3,0.00,262.42,0.00,N/A
104.19.143.119,3,3,0.00,262.52,0.00,N/A
104.21.93.79,3,3,0.00,262.69,0.00,N/A
104.24.245.8,3,3,0.00,262.70,0.00,N/A
104.17.188.116,3,3,0.00,262.71,0.00,N/A
104.25.255.168,3,3,0.00,262.92,0.00,N/A
172.65.246.71,3,3,0.00,262.99,0.00,N/A
172.67.234.103,3,3,0.00,263.01,0.00,N/A
172.67.179.208,3,3,0.00,263.02,0.00,N/A
104.25.230.53,3,3,0.00,263.17,0.00,N/A
104.21.96.222,3,3,0.00,263.34,0.00,N/A
172.67.160.162,3,3,0.00,263.54,0.00,N/A
162.159.50.42,3,3,0.00,263.58,0.00,N/A
104.21.21.38,3,3,0.00,263.70,0.00,N/A
104.17.108.144,3,3,0.00,263.74,0.00,N/A
104.18.226.6,3,3,0.00,263.92,0.00,N/A
104.20.37.120,3,3,0.00,264.01,0.00,N/A
104.21.106.198,3,3,0.00,264.03,0.00,N/A
104.21.59.70,3,3,0.00,264.16,0.00,N/A
104.25.5.47,3,3,0.00,264.16,0.00,N/A
172.65.118.18,3,3,0.00,264.18,0.00,N/A
104.16.167.202,3,3,0.00,264.19,0.00,N/A
104.19.116.188,3,3,0.00,264.23,0.00,N/A
162.159.3.91,3,3,0.00,264.29,0.00,N/A
162.159.0.58,3,3,0.00,264.34,0.00,N/A
104.25.200.173,3,3,0.00,264.35,0.00,N/A
172.66.161.102,3,3,0.00,264.48,0.00,N/A
104.19.34.94,3,3,0.00,264.56,0.00,N/A
104.19.233.63,3,3,0.00,264.81,0.00,N/A
104.25.125.200,3,3,0.00,264.82,0.00,N/A
104.18.243.116,3,3,0.00,264.90,0.00,N/A
173.245.59.98,3,3,0.00,264.95,0.00,N/A
162.159.45.213,3,3,0.00,265.07,0.00,N/A
104.27.114.48,3,3,0.00,265.09,0.00,N/A
104.19.230.178,3,3,0.00,265.49,0.00,N/A
104.21.14.233,3,3,0.00,265.57,0.00,N/A
104.16.203.124,3,3,0.00,265.63,0.00,N/A
172.64.47.157,3,3,0.00,265.66,0.00,N/A
104.19.13.214,3,3,0.00,265.85,0.00,N/A
172.67.244.185,3,3,0.00,265.86,0.00,N/A
104.16.137.141,3,3,0.00,265.98,0.00,N/A
172.66.132.132,3,3,0.00,266.03,0.00,N/A
172.67.83.241,3,3,0.00,266.43,0.00,N/A
104.25.122.170,3,3,0.00,266.53,0.00,N/A
104.18.155.59,3,3,0.00,266.73,0.00,N/A
104.29.159.61,3,3,0.00,267.06,0.00,N/A
104.17.15.192,3,3,0.00,267.10,0.00,N/A
172.65.242.198,3,3,0.00,267.67,0.00,N/A
104.17.117.102,3,3,0.00,267.75,0.00,N/A
104.17.194.253,3,3,0.00,268.42,0.00,N/A
172.65.136.25,3,3,0.00,268.45,0.00,N/A
104.24.205.196,3,3,0.00,268.56,0.00,N/A
104.27.73.92,3,3,0.00,268.91,0.00,N/A
172.67.98.10,3,3,0.00,269.02,0.00,N/A
104.17.58.24,3,3,0.00,269.02,0.00,N/A
104.17.118.219,3,3,0.00,269.98,0.00,N/A
172.65.38.169,3,3,0.00,270.15,0.00,N/A
172.66.133.243,3,3,0.00,270.18,0.00,N/A
104.16.182.50,3,3,0.00,270.40,0.00,N/A
104.17.179.3,3,3,0.00,270.42,0.00,N/A
104.25.214.38,3,3,0.00,270.44,0.00,N/A
104.20.9.204,3,3,0.00,270.57,0.00,N/A
162.159.229.232,3,3,0.00,270.57,0.00,N/A
104.25.47.58,3,3,0.00,270.59,0.00,N/A
104.29.153.89,3,3,0.00,270.96,0.00,N/A
104.18.158.124,3,3,0.00,272.11,0.00,N/A
172.65.12.251,3,3,0.00,272.35,0.00,N/A
104.18.10.155,3,3,0.00,272.83,0.00,N/A
104.29.151.218,3,3,0.00,273.23,0.00,N/A
104.16.73.145,3,3,0.00,274.07,0.00,N/A
104.24.140.236,3,3,0.00,274.23,0.00,N/A
172.67.109.204,3,3,0.00,275.80,0.00,N/A
172.65.4.78,3,3,0.00,275.95,0.00,N/A
104.16.122.245,3,3,0.00,276.87,0.00,N/A
104.29.127.139,3,3,0.00,277.61,0.00,N/A
104.24.223.131,3,3,0.00,278.34,0.00,N/A
104.17.50.114,3,3,0.00,279.16,0.00,N/A
162.159.254.148,3,3,0.00,279.98,0.00,N/A
104.19.133.132,3,3,0.00,280.25,0.00,N/A
104.18.95.86,3,3,0.00,280.28,0.00,N/A
172.66.147.138,3,3,0.00,280.35,0.00,N/A
104.19.20.9,3,3,0.00,280.36,0.00,N/A
172.67.172.116,3,3,0.00,280.67,0.00,N/A
104.19.235.236,3,3,0.00,281.19,0.00,N/A
172.65.13.45,3,3,0.00,281.98,0.00,N/A
104.27.51.150,3,3,0.00,282.06,0.00,N/A
172.66.151.67,3,3,0.00,282.19,0.00,N/A
104.16.37.228,3,3,0.00,282.89,0.00,N/A
104.19.174.82,3,3,0.00,282.98,0.00,N/A
172.64.77.112,3,3,0.00,282.99,0.00,N/A
104.21.22.169,3,3,0.00,283.06,0.00,N/A
104.19.146.248,3,3,0.00,283.17,0.00,N/A
172.64.81.8,3,3,0.00,283.31,0.00,N/A
172.65.72.222,3,3,0.00,283.33,0.00,N/A
104.21.214.70,3,3,0.00,283.94,0.00,N/A
104.21.32.207,3,3,0.00,284.28,0.00,N/A
172.65.64.61,3,3,0.00,284.50,0.00,N/A
104.21.212.167,3,3,0.00,284.98,0.00,N/A
104.18.249.66,3,3,0.00,285.97,0.00,N/A
104.18.207.211,3,3,0.00,286.11,0.00,N/A
104.25.81.114,3,3,0.00,286.19,0.00,N/A
172.67.182.235,3,3,0.00,286.55,0.00,N/A
104.16.146.92,3,3,0.00,286.66,0.00,N/A
104.25.219.18,3,3,0.00,286.79,0.00,N/A
172.66.171.44,3,3,0.00,286.91,0.00,N/A
104.18.119.249,3,3,0.00,287.02,0.00,N/A
172.64.50.138,3,3,0.00,287.06,0.00,N/A
104.20.56.230,3,3,0.00,287.19,0.00,N/A
162.159.246.151,3,3,0.00,287.82,0.00,N/A
172.66.146.242,3,3,0.00,288.30,0.00,N/A
104.24.159.16,3,3,0.00,288.43,0.00,N/A
104.29.148.155,3,3,0.00,288.47,0.00,N/A
104.20.45.145,3,3,0.00,288.56,0.00,N/A
104.19.3.49,3,3,0.00,289.45,0.00,N/A
172.65.137.187,3,3,0.00,290.04,0.00,N/A
104.27.121.102,3,3,0.00,290.64,0.00,N/A
172.67.132.219,3,3,0.00,290.80,0.00,N/A
104.25.211.140,3,3,0.00,291.01,0.00,N/A
104.24.134.221,3,3,0.00,291.56,0.00,N/A
104.27.74.243,3,3,0.00,291.57,0.00,N/A
172.65.241.32,3,3,0.00,292.34,0.00,N/A
104.27.56.93,3,3,0.00,292.64,0.00,N/A
104.27.6.27,3,3,0.00,293.48,0.00,N/A
104.20.53.236,3,3,0.00,293.58,0.00,N/A
104.24.190.138,3,3,0.00,293.78,0.00,N/A
104.24.220.97,3,3,0.00,293.83,0.00,N/A
104.27.55.169,3,3,0.00,294.18,0.00,N/A
104.17.45.89,3,3,0.00,294.45,0.00,N/A
104.25.2.67,3,3,0.00,295.12,0.00,N/A
188.114.98.211,3,3,0.00,295.28,0.00,N/A
172.67.99.133,3,3,0.00,295.98,0.00,N/A
172.65.244.248,3,3,0.00,296.15,0.00,N/A
104.16.22.75,3,3,0.00,297.98,0.00,N/A
172.65.3.233,3,3,0.00,297.99,0.00,N/A
104.27.14.176,3,3,0.00,298.39,0.00,N/A
104.25.233.198,3,3,0.00,298.50,0.00,N/A
104.16.192.77,3,3,0.00,298.61,0.00,N/A
104.25.64.54,3,3,0.00,299.01,0.00,N/A
104.24.168.36,3,3,0.00,299.33,0.00,N/A
104.17.5.3,3,3,0.00,299.50,0.00,N/A
104.16.174.89,3,3,0.00,299.91,0.00,N/A
104.25.203.25,3,3,0.00,301.75,0.00,N/A
104.19.14.237,3,3,0.00,302.57,0.00,N/A
104.24.182.23,3,3,0.00,303.13,0.00,N/A
172.66.158.18,3,3,0.00,304.02,0.00,N/A
104.25.115.237,3,3,0.00,305.76,0.00,N/A
162.159.245.234,3,3,0.00,305.84,0.00,N/A
104.18.219.4,3,3,0.00,308.03,0.00,N/A
104.24.176.9,3,3,0.00,308.51,0.00,N/A
104.27.4.10,3,3,0.00,308.62,0.00,N/A
104.20.17.100,3,2,0.33,118.03,0.00,N/A
172.67.64.246,3,2,0.33,118.70,0.00,N/A
172.67.75.182,3,2,0.33,120.73,0.00,N/A
172.67.69.51,3,2,0.33,120.90,0.00,N/A
